source,target,weight,first_year,last_year
Fadhilah Qalbi Annisa,Ibnu Febry Kurniawan,1,2024,2024
Hafid Kholidi Hadi,Nanang Hoesen. H. A,3,2023,2024
Fresha Kharisma,Nanang Hoesen. H. A,3,2024,2024
Fresha Kharisma,Ika Diyah Candra Arifah,5,2022,2024
Ika Diyah Candra Arifah,Nanang Hoesen. H. A,2,2024,2024
Achmad Fitro,Nanang Hoesen. H. A,1,2024,2024
Achmad Fitro,Hujjatullah Fazlurrahman,1,2024,2024
Anita Safitri,Fresha Kharisma,4,2022,2024
Fresha Kharisma,Muhammad Fajar Wahyudi Rahman,1,2024,2024
Muhammad Fajar Wahyudi Rahman,Nanang Hoesen. H. A,2,2024,2024
Achmad Kautsar,Hafid Kholidi Hadi,6,2022,2024
Achmad Kautsar,Muhammad Fajar Wahyudi Rahman,7,2022,2024
Achmad Kautsar,Nanang Hoesen. H. A,3,2023,2024
Fresha Kharisma,Renny Sari Dewi,3,2022,2024
Achmad Kautsar,Renny Sari Dewi,3,2022,2024
Nanang Hoesen. H. A,Renny Sari Dewi,1,2024,2024
Achmad Kautsar,Ika Diyah Candra Arifah,4,2022,2024
Achmad Kautsar,Fresha Kharisma,3,2022,2024
Achmad Kautsar,Anita Safitri,6,2022,2024
Achmad Kautsar,Ratih Amelia,3,2024,2024
Ika Diyah Candra Arifah,Ratih Amelia,1,2024,2024
Ika Diyah Candra Arifah,Nadia Nur Thahirrah,2,2024,2024
Dhiyan Septa Wihara,Hafid Kholidi Hadi,2,2024,2024
Dhiyan Septa Wihara,Muhammad Fachmi,1,2024,2024
Anita Safitri,Nadia Nur Thahirrah,1,2024,2024
Muhammad Fajar Wahyudi Rahman,Nadia Nur Thahirrah,1,2024,2024
Achmad Kautsar,Nadia Nur Thahirrah,1,2024,2024
Anita Safitri,Ratih Amelia,1,2024,2024
Muhammad Fajar Wahyudi Rahman,Ratih Amelia,1,2024,2024
Dhiyan Septa Wihara,Fresha Kharisma,1,2024,2024
Dhiyan Septa Wihara,Nadia Nur Thahirrah,1,2024,2024
Hujjatullah Fazlurrahman,Ratih Amelia,1,2024,2024
Anita Safitri,Dhiyan Septa Wihara,1,2024,2024
Aditya Chandra Hermawan,Widi Aribowo,7,2021,2024
Aditya Chandra Hermawan,Mahendra Widyartono,6,2021,2024
Fajar Arianto,Mustaji,4,2022,2024
Andi Mariono,Mustaji,5,2018,2024
I Made Suartana,Rahadian Bisma,2,2023,2023
Anita Qoiriah,Rahadian Bisma,2,2018,2023
Rahadian Bisma,Ricky Eka Putra,2,2023,2023
Ari Kurniawan,Paramitha Nerisafitra,1,2023,2023
Paramitha Nerisafitra,Yuni Yamasari,1,2023,2023
Andi Iwan Nurhidayat,Paramitha Nerisafitra,1,2023,2023
Ari Kurniawan,Yuni Yamasari,1,2023,2023
Andi Iwan Nurhidayat,Ari Kurniawan,1,2023,2023
Aditya Prapanca,Bambang Suprianto,3,2023,2023
Bambang Suprianto,Unit Three Kartini,6,2020,2023
Bambang Suprianto,Widi Aribowo,14,2020,2023
Aditya Prapanca,Unit Three Kartini,1,2023,2023
Unit Three Kartini,Widi Aribowo,7,2020,2023
Bambang Suprianto,Reza Rahmadian,3,2021,2023
Bambang Suprianto,Mahendra Widyartono,4,2021,2023
Naim Rochmawati,Pradini Puspitaningayu,1,2023,2023
Rifqi Abdillah,Sayyidul Aulia Alamsyah,1,2023,2023
Pradini Puspitaningayu,Rifqi Abdillah,1,2023,2023
Arif Widodo,Rifqi Abdillah,1,2023,2023
Arif Widodo,Sayyidul Aulia Alamsyah,1,2023,2023
Arif Widodo,Pradini Puspitaningayu,6,2018,2023
Arif Widodo,Parama Diptya Widayaka,1,2023,2023
Aries Dwi Indriyanti,Wiyli Yustanti,1,2023,2023
Ekohariadi,I Gusti Putu Asto Buditjahjanto,1,2023,2023
I Gusti Putu Asto Buditjahjanto,Yeni Anistyasari,1,2023,2023
Tri Wrahatnolo,Yeni Anistyasari,1,2023,2023
Bambang Suprianto,Ekohariadi,1,2023,2023
Miftahur Rohman,Yuni Yamasari,1,2023,2023
Miftahur Rohman,Wiyli Yustanti,1,2023,2023
Farid Baskoro,Yuni Yamasari,1,2023,2023
Widi Aribowo,Yuni Yamasari,1,2023,2023
Farid Baskoro,Wiyli Yustanti,1,2023,2023
Widi Aribowo,Wiyli Yustanti,1,2023,2023
